App,Category,Rating,Reviews,Size,Installs,Type,Last Updated
Magic Tiles 3,GAME,4.5,592068,Varies with device,"50,000,000+",Free,3-Aug-18
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,"50,000,000+",Free,17-Jul-18
Word Search,GAME,4.7,295241,3.9M,"10,000,000+",Free,6-Jun-18
Granny,GAME,4.5,1135631,59M,"50,000,000+",Free,29-May-18
Angry Birds Classic,GAME,4.4,5566669,97M,"100,000,000+",Free,24-May-18
Flow Free,GAME,4.3,1295557,11M,"100,000,000+",Free,11-Apr-18
Race the Traffic Moto,GAME,3.8,270687,38M,"10,000,000+",Free,20-Jul-18
Fishdom,GAME,4.6,2157930,Varies with device,"10,000,000+",Free,19-Jul-18
Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,"10,000,000+",Free,1-Aug-18
Zombie Tsunami,GAME,4.4,4920817,Varies with device,"100,000,000+",Free,15-Jun-18
Bubble Shooter 2,GAME,4.3,23005,Varies with device,"5,000,000+",Free,25-Jul-18
Barbie™ Fashion Closet,GAME,4.1,68057,85M,"10,000,000+",Free,30-Jul-18
Candy Crush Jelly Saga,GAME,4.3,1300490,78M,"50,000,000+",Free,20-Jul-18
Hill Climb Racing,GAME,4.4,8923587,63M,"100,000,000+",Free,2-Jul-18
Gardenscapes,GAME,4.6,4128732,Varies with device,"50,000,000+",Free,13-Jul-18
Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,21-Jun-18
Shooting King,GAME,4.4,257724,69M,"10,000,000+",Free,25-May-18
Zombie Catchers,GAME,4.7,990491,75M,"10,000,000+",Free,24-May-18
Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,Varies with device,"100,000,000+",Free,12-Jul-18
Farm Heroes Saga,GAME,4.4,7614130,70M,"100,000,000+",Free,26-Jul-18
Geometry Dash World,GAME,4.6,760628,63M,"10,000,000+",Free,22-Dec-17
My Talking Angela,GAME,4.5,9881829,99M,"100,000,000+",Free,3-Jul-18
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,5-Jul-18
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7671249,Varies with device,"100,000,000+",Free,2-Aug-18
Subway Surfers,GAME,4.5,27723193,76M,"1,000,000,000+",Free,12-Jul-18
ROBLOX,GAME,4.5,4447346,67M,"100,000,000+",Free,31-Jul-18
Pou,GAME,4.3,10485334,24M,"500,000,000+",Free,25-May-18
8 Ball Pool,GAME,4.5,14198602,52M,"100,000,000+",Free,31-Jul-18
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,15-Jul-18
Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,5-Jul-18
Plants vs. Zombies FREE,GAME,4.4,4066980,69M,"100,000,000+",Free,6-Jul-18
Cooking Fever,GAME,4.5,3197865,82M,"100,000,000+",Free,12-Jul-18
Toon Blast,GAME,4.7,1351068,Varies with device,"10,000,000+",Free,30-Jul-18
Score! Hero,GAME,4.6,5418675,96M,"100,000,000+",Free,13-Jun-18
My Talking Angela,GAME,4.5,9881908,99M,"100,000,000+",Free,3-Jul-18
Bubble Shooter,GAME,4.5,148895,46M,"10,000,000+",Free,17-Jul-18
Toy Blast,GAME,4.7,1889250,Varies with device,"50,000,000+",Free,23-Jul-18
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99M,"10,000,000+",Free,30-Jul-18
Wordscapes,GAME,4.8,230710,87M,"10,000,000+",Free,2-Aug-18
Word Search,GAME,4.7,295305,3.9M,"10,000,000+",Free,6-Jun-18
Candy Crush Soda Saga,GAME,4.4,6198880,67M,"100,000,000+",Free,10-Jul-18
Fishdom,GAME,4.6,2157930,Varies with device,"10,000,000+",Free,19-Jul-18
Garena Free Fire,GAME,4.5,5465624,53M,"100,000,000+",Free,3-Aug-18
Block Puzzle,GAME,4.6,59854,7.8M,"5,000,000+",Free,6-Mar-18
Bowmasters,GAME,4.7,1534466,Varies with device,"50,000,000+",Free,23-Jul-18
Clash Royale,GAME,4.6,23134775,97M,"100,000,000+",Free,27-Jun-18
My Talking Tom,GAME,4.5,14891223,Varies with device,"500,000,000+",Free,19-Jul-18
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,"100,000,000+",Free,2-Aug-18
Granny,GAME,4.5,1137271,59M,"50,000,000+",Free,29-May-18
Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,"10,000,000+",Free,1-Aug-18
Angry Birds Rio,GAME,4.4,2610622,46M,"100,000,000+",Free,3-Jul-18
Zombie Catchers,GAME,4.7,990586,75M,"10,000,000+",Free,24-May-18
Zombie Hunter King,GAME,4.3,10354,50M,"1,000,000+",Free,1-Aug-18
Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,5-Jul-18
Zombie Tsunami,GAME,4.4,4921122,Varies with device,"100,000,000+",Free,15-Jun-18
Jungle Marble Blast,GAME,4.3,18985,23M,"5,000,000+",Free,23-Jul-18
Rider,GAME,4.5,655067,72M,"10,000,000+",Free,17-Jul-17
Farm Heroes Saga,GAME,4.4,7614271,70M,"100,000,000+",Free,26-Jul-18
Super Jim Jump - pixel 3d,GAME,4.5,10434,18M,"1,000,000+",Free,11-Jul-18
slither.io,GAME,4.4,5234825,Varies with device,"100,000,000+",Free,14-Nov-17
Roll the Ball® - slide puzzle,GAME,4.5,1385093,35M,"100,000,000+",Free,2-Aug-18
Talking Tom Gold Run,GAME,4.6,2698348,78M,"100,000,000+",Free,31-Jul-18
Pixel Art: Color by Number Game,GAME,4.7,1125017,25M,"10,000,000+",Free,17-Jul-18
Dream League Soccer 2018,GAME,4.6,9882639,74M,"100,000,000+",Free,16-Jul-18
Angry Birds Classic,GAME,4.4,5566805,97M,"100,000,000+",Free,24-May-18
Fruits Bomb,GAME,4.4,74673,17M,"10,000,000+",Free,6-Jul-18
Traffic Racer,GAME,4.5,5387639,53M,"100,000,000+",Free,27-Feb-18
Hill Climb Racing 2,GAME,4.6,2750410,Varies with device,"100,000,000+",Free,2-Aug-18
Flow Free,GAME,4.3,1295606,11M,"100,000,000+",Free,11-Apr-18
Knife Hit,GAME,4.5,461137,60M,"10,000,000+",Free,22-May-18
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,"50,000,000+",Free,5-Mar-18
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,2-Aug-18
ROBLOX,GAME,4.5,4448791,67M,"100,000,000+",Free,31-Jul-18
Helix Jump,GAME,4.2,1498648,33M,"100,000,000+",Free,9-Apr-18
Subway Surfers,GAME,4.5,27724094,76M,"1,000,000,000+",Free,12-Jul-18
Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,5-Jul-18
Toon Blast,GAME,4.7,1351089,Varies with device,"10,000,000+",Free,30-Jul-18
Love Balls,GAME,4.2,360630,40M,"50,000,000+",Free,31-Jul-18
Granny,GAME,4.5,1137267,59M,"50,000,000+",Free,29-May-18
8 Ball Pool,GAME,4.5,14200344,52M,"100,000,000+",Free,31-Jul-18
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,Varies with device,"100,000,000+",Free,2-Aug-18
slither.io,GAME,4.4,5234810,Varies with device,"100,000,000+",Free,14-Nov-17
Hungry Shark Evolution,GAME,4.5,6074334,100M,"100,000,000+",Free,25-Jul-18
Temple Run 2,GAME,4.3,8118937,62M,"500,000,000+",Free,5-Jul-18
Kick the Buddy,GAME,4.3,1000417,Varies with device,"50,000,000+",Free,5-Jul-18
Magic Tiles 3,GAME,4.5,592282,Varies with device,"50,000,000+",Free,3-Aug-18
Bowmasters,GAME,4.7,1535084,Varies with device,"50,000,000+",Free,23-Jul-18
Piano Tiles 2™,GAME,4.7,8118880,Varies with device,"100,000,000+",Free,3-Aug-18
Pokémon GO,GAME,4.1,10424925,85M,"100,000,000+",Free,23-Jul-18
Wordscapes,GAME,4.8,230727,87M,"10,000,000+",Free,2-Aug-18
Paint Hit,GAME,4.4,37023,33M,"10,000,000+",Free,6-Jul-18
Snake VS Block,GAME,4.2,422244,32M,"50,000,000+",Free,23-Apr-18
Rolly Vortex,GAME,4.4,98123,40M,"10,000,000+",Free,25-May-18
Woody Puzzle,GAME,4.7,21262,29M,"1,000,000+",Free,3-Aug-18
Stack Jump,GAME,4.3,118253,40M,"10,000,000+",Free,3-May-18
Color by Number – New Coloring Book,GAME,4.7,141529,24M,"5,000,000+",Free,1-Aug-18
The Cube,GAME,4.2,70226,38M,"5,000,000+",Free,25-Jul-18
Extreme Car Driving Simulator,GAME,4.3,2251012,52M,"100,000,000+",Free,3-May-18
Bricks n Balls,GAME,4.4,30253,Varies with device,"1,000,000+",Free,5-Aug-18
The Fish Master!,GAME,4.1,15763,54M,"1,000,000+",Free,17-Jul-18
Color Road,GAME,4.1,84911,71M,"10,000,000+",Free,19-Jul-18
Draw In,GAME,4.2,46416,73M,"10,000,000+",Free,23-Jul-18
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57M,"50,000,000+",Free,5-Mar-18
PLANK!,GAME,4.7,7196,38M,"500,000+",Free,17-Jul-18
Looper!,GAME,4.6,48256,62M,"1,000,000+",Free,20-Jul-18
Trivia Crack,GAME,4.5,6427773,95M,"100,000,000+",Free,3-Aug-18
Will it Crush?,GAME,3.1,25825,16M,"5,000,000+",Free,22-May-18
Tomb of the Mask,GAME,4.1,55380,39M,"5,000,000+",Free,24-Jul-18
Baseball Boy!,GAME,3.4,148177,78M,"10,000,000+",Free,27-Jul-18
PUBG MOBILE,GAME,4.4,3715656,36M,"50,000,000+",Free,24-Jul-18
Episode - Choose Your Story,GAME,4.3,1841061,Varies with device,"50,000,000+",Free,31-Jul-18
Hello Stars,GAME,4.6,101686,31M,"10,000,000+",Free,4-Aug-18
Run Sausage Run!,GAME,4.4,275447,Varies with device,"10,000,000+",Free,1-Aug-18
Tank Stars,GAME,4.3,174755,98M,"10,000,000+",Free,11-Jul-18
Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24M,"50,000,000+",Free,17-Jul-18
Hole.io,GAME,4.2,145353,85M,"10,000,000+",Free,24-Jul-18
Helix Jump,GAME,4.2,1499373,33M,"100,000,000+",Free,9-Apr-18
Mini Golf King - Multiplayer Game,GAME,4.5,531458,100M,"5,000,000+",Free,20-Jul-18
PUBG MOBILE,GAME,4.4,3714270,36M,"50,000,000+",Free,24-Jul-18
Flip the Gun - Simulator Game,GAME,4.2,195558,86M,"10,000,000+",Free,26-Jul-18
Mad Skills BMX 2,GAME,4.5,29940,80M,"1,000,000+",Free,26-Jul-18
Wordscapes,GAME,4.8,230727,87M,"10,000,000+",Free,2-Aug-18
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",GAME,4.4,41975,79M,"1,000,000+",Free,19-Jul-18
Word Link,GAME,4.6,216675,30M,"10,000,000+",Free,1-Aug-18
Last Day on Earth: Survival,GAME,4.5,2311785,87M,"10,000,000+",Free,1-Aug-18
MARVEL Strike Force,GAME,4.3,165888,91M,"5,000,000+",Free,31-Jul-18
Partymasters - Fun Idle Game,GAME,4.6,541144,63M,"10,000,000+",Free,12-Jul-18
Harry Potter: Hogwarts Mystery,GAME,4.4,1107310,Varies with device,"10,000,000+",Free,1-Aug-18
Offroad Outlaws,GAME,4.4,29168,Varies with device,"1,000,000+",Free,29-May-18
Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95M,"5,000,000+",Free,18-Jul-18
DRAGON BALL LEGENDS,GAME,4.6,337752,48M,"5,000,000+",Free,3-Aug-18
Disney Heroes: Battle Mode,GAME,4.6,102107,Varies with device,"5,000,000+",Free,31-Jul-18
Homescapes,GAME,4.6,3093358,Varies with device,"10,000,000+",Free,13-Jul-18
New YAHTZEE® With Buddies Dice Game,GAME,4.1,42079,93M,"5,000,000+",Free,5-Jul-18
Word Crossy - A crossword game,GAME,4.5,240416,53M,"5,000,000+",Free,1-Aug-18
MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82M,"1,000,000+",Free,27-Jun-18
Hero Hunters,GAME,4.4,70747,99M,"5,000,000+",Free,31-Jul-18
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49M,"10,000,000+",Free,30-Jul-18
Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,15403,25M,"1,000,000+",Free,2-Aug-18
TerraGenesis - Space Colony,GAME,4.3,38957,Varies with device,"1,000,000+",Free,2-Aug-18
Merge Dragons!,GAME,4.5,214777,91M,"5,000,000+",Free,30-Jul-18
SHADOWGUN LEGENDS,GAME,4.6,100609,52M,"1,000,000+",Free,16-Jul-18
RULES OF SURVIVAL,GAME,4.2,1343866,56M,"10,000,000+",Free,1-Aug-18
Mafia City,GAME,4.5,168717,56M,"10,000,000+",Free,3-Aug-18
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85M,"10,000,000+",Free,19-Jul-18
Dino War: Rise of Beasts,GAME,4.1,18996,81M,"1,000,000+",Free,1-Aug-18
Tokyo Ghoul: Dark War,GAME,4.3,25094,82M,"1,000,000+",Free,6-Jul-18
Last Shelter: Survival,GAME,4.4,93033,98M,"5,000,000+",Free,4-Aug-18
Guns of Glory,GAME,4,120592,77M,"10,000,000+",Free,31-Jul-18
Lineage 2: Revolution,GAME,4.2,187972,99M,"5,000,000+",Free,11-Jul-18
Final Fantasy XV: A New Empire,GAME,4,484981,Varies with device,"10,000,000+",Free,15-Jun-18
Girls' Frontline,GAME,4.2,2055,96M,"100,000+",Free,18-May-18
Chapters: Interactive Stories,GAME,4.5,73539,96M,"1,000,000+",Free,2-Aug-18
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,3-Jul-18
Master of Eternity(MOE),GAME,4.2,5829,70M,"100,000+",Free,26-Jul-18
The Game of Life,GAME,4.4,18621,63M,"100,000+",Paid,4-Jul-18
Clue,GAME,4.6,19922,35M,"100,000+",Paid,30-Jul-18
The Room: Old Sins,GAME,4.9,21119,48M,"100,000+",Paid,18-Apr-18
The Escapists,GAME,4.4,7412,84M,"100,000+",Paid,26-Apr-18
Farming Simulator 18,GAME,4.5,18125,15M,"100,000+",Paid,9-Jul-18
RollerCoaster Tycoon® Classic,GAME,4.6,10795,69M,"100,000+",Paid,21-Dec-17
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46M,"100,000+",Paid,20-Dec-16
Star Wars ™: DIRTY,GAME,4.5,38207,15M,"100,000+",Paid,19-Oct-15
Monument Valley 2,GAME,4.6,9394,33M,"100,000+",Paid,30-Nov-17
DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,3-Aug-18
ROBLOX,GAME,4.5,4449882,67M,"100,000,000+",Free,31-Jul-18
Candy Crush Saga,GAME,4.4,22429716,74M,"500,000,000+",Free,5-Jul-18
Angry Birds 2,GAME,4.6,3883589,57M,"100,000,000+",Free,26-Jul-18
8 Ball Pool,GAME,4.5,14200550,52M,"100,000,000+",Free,31-Jul-18
Fallout Shelter,GAME,4.6,2719142,25M,"10,000,000+",Free,11-Jun-18
Harry Potter: Hogwarts Mystery,GAME,4.4,1107197,Varies with device,"10,000,000+",Free,1-Aug-18
PUBG MOBILE,GAME,4.4,3716278,36M,"50,000,000+",Free,24-Jul-18
The Sims™ FreePlay,GAME,4.3,931595,31M,"10,000,000+",Free,16-Jul-18
MARVEL Strike Force,GAME,4.3,165928,91M,"5,000,000+",Free,31-Jul-18
Best Fiends - Free Puzzle Game,GAME,4.6,1480189,Varies with device,"10,000,000+",Free,2-Aug-18
MARVEL Contest of Champions,GAME,4.3,2468063,92M,"50,000,000+",Free,30-Jul-18
Jurassic World™ Alive,GAME,4.3,309176,70M,"5,000,000+",Free,2-Aug-18
Choices: Stories You Play,GAME,4.6,807338,93M,"10,000,000+",Free,30-Jul-18
Solitaire TriPeaks,GAME,4.5,446434,52M,"10,000,000+",Free,1-Aug-18
Merge Dragons!,GAME,4.5,214819,91M,"5,000,000+",Free,30-Jul-18
The Walking Dead: Road to Survival,GAME,4.2,522466,37M,"10,000,000+",Free,19-Jun-18
Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64M,"10,000,000+",Free,27-Jul-18
Might & Magic: Elemental Guardians,GAME,4.3,32551,35M,"500,000+",Free,12-Jul-18
Game of Thrones: Conquest™,GAME,4,90218,97M,"1,000,000+",Free,3-Aug-18
Love Nikki-Dress UP Queen,GAME,4.4,212524,93M,"5,000,000+",Free,24-Jul-18
Summoners War,GAME,4.3,2045554,28M,"50,000,000+",Free,30-Jul-18
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,"5,000,000+",Free,17-Jul-18
Idle Heroes,GAME,4.7,416540,99M,"10,000,000+",Free,30-May-18
Fate/Grand Order (English),GAME,4.4,16601,55M,"500,000+",Free,26-Jul-18
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,3-Jul-18
Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,3057481,14M,"50,000,000+",Free,26-Jul-18
War and Order,GAME,4.3,224514,81M,"5,000,000+",Free,18-Jul-18
Dungeon Hunter Champions: Epic Online Action RPG,GAME,4.2,26247,Varies with device,"1,000,000+",Free,26-Jul-18
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,5-Jul-18
ROBLOX,GAME,4.5,4449910,67M,"100,000,000+",Free,31-Jul-18
8 Ball Pool,GAME,4.5,14201891,52M,"100,000,000+",Free,31-Jul-18
Subway Surfers,GAME,4.5,27725352,76M,"1,000,000,000+",Free,12-Jul-18
Candy Crush Soda Saga,GAME,4.4,6199095,67M,"100,000,000+",Free,10-Jul-18
Zombie Hunter King,GAME,4.3,10493,50M,"1,000,000+",Free,1-Aug-18
Bubble Shooter,GAME,4.5,148945,46M,"10,000,000+",Free,17-Jul-18
Toon Blast,GAME,4.7,1351771,Varies with device,"10,000,000+",Free,30-Jul-18
Toy Blast,GAME,4.7,1889582,Varies with device,"50,000,000+",Free,23-Jul-18
Clash Royale,GAME,4.6,23136735,97M,"100,000,000+",Free,27-Jun-18
Clash of Clans,GAME,4.6,44893888,98M,"100,000,000+",Free,15-Jul-18
Farm Heroes Saga,GAME,4.4,7614415,70M,"100,000,000+",Free,26-Jul-18
Plants vs. Zombies FREE,GAME,4.4,4067651,69M,"100,000,000+",Free,6-Jul-18
Word Search,GAME,4.7,295576,3.9M,"10,000,000+",Free,6-Jun-18
Block Puzzle,GAME,4.6,59907,7.8M,"5,000,000+",Free,6-Mar-18
Super Jim Jump - pixel 3d,GAME,4.5,10460,18M,"1,000,000+",Free,11-Jul-18
Pou,GAME,4.3,10486018,24M,"500,000,000+",Free,25-May-18
Temple Run 2,GAME,4.3,8119151,62M,"500,000,000+",Free,5-Jul-18
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,11-Apr-18
Homescapes,GAME,4.6,3093932,Varies with device,"10,000,000+",Free,13-Jul-18
Wordscapes,GAME,4.8,230849,87M,"10,000,000+",Free,2-Aug-18
My Talking Angela,GAME,4.5,9883367,99M,"100,000,000+",Free,3-Jul-18
slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,14-Nov-17
Cooking Fever,GAME,4.5,3198176,82M,"100,000,000+",Free,12-Jul-18
Yes day,GAME,4.5,10055521,94M,"100,000,000+",Free,28-Jun-18
Gardenscapes,GAME,4.6,4129665,Varies with device,"50,000,000+",Free,13-Jul-18
Fishdom,GAME,4.6,2158580,Varies with device,"10,000,000+",Free,19-Jul-18
Galaxy Attack: Alien Shooter,GAME,4.6,506593,Varies with device,"10,000,000+",Free,1-Aug-18
Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,13-Jun-18
Zombie Catchers,GAME,4.7,990723,75M,"10,000,000+",Free,24-May-18
Magic Tiles 3,GAME,4.5,592504,Varies with device,"50,000,000+",Free,3-Aug-18
Jewels Star: OZ adventure,GAME,4.5,21892,14M,"1,000,000+",Free,29-Dec-17
Granny,GAME,4.5,1138239,59M,"50,000,000+",Free,29-May-18
Dream League Soccer 2018,GAME,4.6,9883806,74M,"100,000,000+",Free,16-Jul-18
Sweet Fruit Candy,GAME,4.5,197540,29M,"10,000,000+",Free,16-Jul-18
Fruits Bomb,GAME,4.4,74695,17M,"10,000,000+",Free,6-Jul-18
Angry Birds Classic,GAME,4.4,5566889,97M,"100,000,000+",Free,24-May-18
Talking Tom Gold Run,GAME,4.6,2698882,78M,"100,000,000+",Free,31-Jul-18
Bowmasters,GAME,4.7,1535973,Varies with device,"50,000,000+",Free,23-Jul-18
My Talking Tom,GAME,4.5,14892469,Varies with device,"500,000,000+",Free,19-Jul-18
Hill Climb Racing,GAME,4.4,8923818,63M,"100,000,000+",Free,2-Jul-18
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,Varies with device,"100,000,000+",Free,2-Aug-18
Pixel Art: Color by Number Game,GAME,4.7,1125438,25M,"10,000,000+",Free,17-Jul-18
Shoot Bubble - Fruit Splash,GAME,4.6,29445,29M,"5,000,000+",Free,11-May-18
Rider,GAME,4.5,655145,72M,"10,000,000+",Free,17-Jul-17
Zombie Tsunami,GAME,4.4,4921451,Varies with device,"100,000,000+",Free,15-Jun-18
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,3-Aug-18
Doodle Jump,GAME,4.3,1083571,Varies with device,"50,000,000+",Free,20-Jul-18
Subway Surfers,GAME,4.5,27725352,76M,"1,000,000,000+",Free,12-Jul-18
Helix Jump,GAME,4.2,1500999,33M,"100,000,000+",Free,9-Apr-18
Crossy Road,GAME,4.5,4230886,60M,"100,000,000+",Free,1-Aug-18
Temple Run 2,GAME,4.3,8119154,62M,"500,000,000+",Free,5-Jul-18
slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,14-Nov-17
Bowmasters,GAME,4.7,1535973,Varies with device,"50,000,000+",Free,23-Jul-18
Talking Tom Gold Run,GAME,4.6,2698889,78M,"100,000,000+",Free,31-Jul-18
Zombie Catchers,GAME,4.7,990663,75M,"10,000,000+",Free,24-May-18
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,Varies with device,"100,000,000+",Free,2-Aug-18
Swamp Attack,GAME,4.4,2119218,70M,"50,000,000+",Free,29-Jun-18
Earn to Die 2,GAME,4.6,1327265,99M,"50,000,000+",Free,12-Apr-17
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99M,"10,000,000+",Free,30-Jul-18
Kick the Buddy,GAME,4.3,1003269,Varies with device,"50,000,000+",Free,5-Jul-18
Hungry Shark World,GAME,4.5,1242855,27M,"50,000,000+",Free,18-Jul-18
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,12-Apr-17
Shadow Fight 2,GAME,4.6,10979062,88M,"100,000,000+",Free,2-Jul-18
Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,5-Jun-18
DEER HUNTER 2018,GAME,4.3,955656,82M,"10,000,000+",Free,26-Jun-18
DRAGON BALL LEGENDS,GAME,4.6,337913,48M,"5,000,000+",Free,3-Aug-18
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,Varies with device,"50,000,000+",Free,23-Jul-18
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,3-Aug-18
Anger of stick 5 : zombie,GAME,4.5,549039,23M,"50,000,000+",Free,3-Aug-18
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,"50,000,000+",Free,9-Jul-18
Soul Knight,GAME,4.7,292164,59M,"10,000,000+",Free,1-Aug-18
Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,28-Jun-17
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,"10,000,000+",Free,14-Mar-17
Strawberry Shortcake BerryRush,GAME,4.3,525517,48M,"10,000,000+",Free,15-Oct-17
Extreme Match,GAME,4.5,696,Varies with device,"100,000+",Free,5-Jul-18
Power Rangers Dino Charge,GAME,4.3,194969,30M,"10,000,000+",Free,29-Jan-18
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66M,"10,000,000+",Free,28-Jul-17
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,23-Jul-18
Zombie Hunter King,GAME,4.3,10538,50M,"1,000,000+",Free,1-Aug-18
Garena Free Fire,GAME,4.5,5476569,53M,"100,000,000+",Free,3-Aug-18
Battlelands Royale,GAME,4.4,105620,61M,"1,000,000+",Free,16-Jul-18
Once Upon a Tower,GAME,4.7,37139,49M,"1,000,000+",Free,24-Jan-18
TEKKEN™,GAME,4.2,147791,38M,"5,000,000+",Free,26-Jul-18
diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,16-Mar-18
Arrow.io,GAME,4.5,343263,Varies with device,"10,000,000+",Free,6-Aug-18
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,"10,000,000+",Free,16-Jul-18
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,12-Oct-17
Bus Rush: Subway Edition,GAME,4.1,753043,57M,"100,000,000+",Free,1-Aug-18
DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,29-Jun-18
Tiny Archers,GAME,4.5,80678,Varies with device,"5,000,000+",Free,25-May-18
Metal Soldiers 2,GAME,4.4,153381,Varies with device,"10,000,000+",Free,18-Jun-18
Runner 3d like,GAME,4.5,559,32M,"100,000+",Free,3-Aug-18
War Robots,GAME,4.6,3073251,33M,"50,000,000+",Free,25-Jul-18
Dinosaur Simulator: Dino World,GAME,4,26649,66M,"5,000,000+",Free,5-Aug-18
